Sample,LightSetting,IncubationType,Incubation,Cq,Starting Quantity (SQ),mL extracted,DNA eluted,Template added,16S copies per mL incubation
EAT01,None,Aquarium,AquariumDay1,35.7320227496833,1579,15,100,4,2632
EAT02,None,Aquarium,AquariumDay1,35.9498172598375,1399,15,100,4,2332
EAT03,None,Aquarium,AquariumDay1,34.5809373201446,2994,15,100,4,4990
EAT04,None,Aquarium,AquariumDay1,34.7917921789809,2663,15,100,4,4438
EAT05,None,Aquarium,AquariumDay4,37.0128565019203,775,15,100,4,1292
EAT06,None,Aquarium,AquariumDay4,37.2628710975618,674,15,100,4,1123
EAT07,None,Aquarium,AquariumDay4,39.7708689512391,167,15,100,4,278
EAT08,None,Aquarium,AquariumDay4,39.4969077981848,194,15,100,4,323
EAT09,Light,Seawater,Seawater1,35.2252588252694,2093,7.5,100,4,6977
EAT10,Light,Seawater,Seawater1,38.1220250165297,418,7.5,100,4,1393
EAT11,Light,Seawater,Seawater2,32.3331161364263,10442,7.5,100,4,34807
EAT12,Light,Seawater,Seawater2,34.1485347170887,3807,7.5,100,4,12690
EAT13,Light,Seawater,Seawater3,35.0557016955147,2299,7.5,100,4,7663
EAT14,Light,Seawater,Seawater3,33.3854944531054,5818,7.5,100,4,19393
EAT15,Light,Fibre,Fibre1,26.4667779338915,272026,7.5,100,4,906753
EAT16,Light,Fibre,Fibre1,27.2178182942329,179205,7.5,100,4,597350
EAT17,Light,Fibre,Fibre2,32.4071433383183,10021,7.5,100,4,33403
EAT18,Light,Fibre,Fibre2,34.3340511578018,3434,7.5,100,4,11447
EAT19,Light,Fibre,Fibre3,32.5126656330539,9450,7.5,100,4,31500
EAT20,Light,Fibre,Fibre3,29.7881779530058,42954,7.5,100,4,143180
EAT21,Light,HDPE,HDPE1,33.2342855764572,6328,7.5,100,4,21093
EAT22,Light,HDPE,HDPE1,35.3061475786691,2001,7.5,100,4,6670
EAT23,Light,HDPE,HDPE2,27.2157232652734,179414,7.5,100,4,598047
EAT24,Light,HDPE,HDPE2,31.4607822309618,16956,7.5,100,4,56520
EAT25,Light,HDPE,HDPE3,29.3347043723626,55265,7.5,100,4,184217
EAT25.2,Light,HDPE,HDPE3,29.2277900695278,58648,7.5,100,4,195493
EAT26,Light,HDPE,HDPE3,28.7496149186187,76499,7.5,100,4,254997
EAT26.2,Light,HDPE,HDPE3,28.5173387502935,87039,15,100,4,145065
EAT27,Light,Tween,Tween1,34.3944459535749,3321,7.5,100,4,11070
EAT28,Light,Tween,Tween1,35.353079632979,1949,7.5,100,4,6497
EAT29,Light,Tween,Tween2,29.1010720861496,62927,7.5,100,4,209757
EAT30,Light,Tween,Tween2,31.1552430809123,20094,7.5,100,4,66980
EAT31,Light,Tween,Tween3,32.4659768141468,9699,7.5,100,4,32330
EAT32,Light,Tween,Tween3,31.2258231037098,19321,7.5,100,4,64403
EAT33,Dark,Seawater,Seawater1,36.6950351960987,924,7.5,100,4,3080
EAT34,Dark,Seawater,Seawater1,37.1742489426535,708,7.5,100,4,2360
EAT35,Dark,Seawater,Seawater2,36.2130582854875,1208,7.5,100,4,4027
EAT36,Dark,Seawater,Seawater2,30.9035517927113,23110,7.5,100,4,77033
EAT37,Dark,Seawater,Seawater3,34.7169074648626,2776,7.5,100,4,9253
EAT38,Dark,Seawater,Seawater3,33.2373069124742,6317,7.5,100,4,21057
EAT39,Dark,Fibre,Fibre1,34.052266461132,4016,7.5,100,4,13387
EAT40,Dark,Fibre,Fibre1,31.9686092387197,12787,7.5,100,4,42623
EAT41,Dark,Fibre,Fibre2,22.7049320008061,2200470,7.5,100,4,7334900
EAT42,Dark,Fibre,Fibre2,32.2614054494808,10866,7.5,100,4,36220
EAT43,Dark,Fibre,Fibre3,28.1737718128036,105350,7.5,100,4,351167
EAT44,Dark,Fibre,Fibre3,33.2295583373456,6345,7.5,100,4,21150
EAT45,Dark,HDPE,HDPE1,26.0971785482501,334051,7.5,100,4,1113503
EAT46,Dark,HDPE,HDPE1,25.7688202875256,400922,7.5,100,4,1336407
EAT47,Dark,HDPE,HDPE2,27.312485087306,170021,7.5,100,4,566737
EAT48,Dark,HDPE,HDPE2,27.4568268217948,156916,7.5,100,4,523053
EAT49,Dark,HDPE,HDPE3,39.2647447838687,221,7.5,100,4,737
EAT50,Dark,HDPE,HDPE3,36.2818854728363,1163,7.5,100,4,3877
EAT51,Dark,Tween,Tween1,30.1270071392211,35582,7.5,100,4,118607
EAT52,Dark,Tween,Tween1,29.7599008482819,43634,7.5,100,4,145447
EAT53,Dark,Tween,Tween2,33.2906373971403,6133,7.5,100,4,20443
EAT54,Dark,Tween,Tween2,35.5087430440821,1788,7.5,100,4,5960
EAT55,Dark,Tween,Tween3,23.3962638132833,1498531,7.5,100,4,4995103
EAT56,Dark,Tween,Tween3,28.8673575024686,71654,7.5,100,4,238847